3pm0,2nnj,1po5,6j95,6mjm,3r9b,3k9v,3aba,3vm4,2x5l,1z8o,3rwl,4yzr,4mm0,1ued,6u30,3s79,6fyj,4c28,4i8v,5dqn,4l0f,2w0b,4lxj,5jlc,3c6g,4e2p,6l8h,2xkr,3mgx,1jfb,6mcw,2wm4,5foi,6a17,3tbg,2rfb,5l1s,5tz1,3zkp,5hiw,2d09,4ubs,2hi4,4l6g,4i91,3cv8,1dz9,2q9f,5ylw,2zqx,5o4k,2ciw,3nc3,4yt3,4eji,3mzs,2ve3,4ep6,6cr2,1nr6,5l92,6b11,6gk5,3swz,3abb,4nz2,4g3j,5hdi,1tqn,2z3t,3vrm,4ggv,3wsp,4tvf,4tt5,6g5o,3t3z,3b4x
0.068680667,0.064014033,0.065553383,0.033343328,0.036169413,0.045814955,0.047491625,0.050024804,0.033293207,0.054376586,0,0.04898003,0.038919843,0.033849963,0.079526959,0.047346475,0.070443654,0.036418182,0.068803705,0.056919337,0.036696729,0.055830184,0.054614088,0.055595385,0.067468539,0.052148069,0.082592851,0.047958221,0.077248769,0.086526694,0.055597121,0.125653432,0.049569397,0.067734307,0.099290712,0.059709288,0.078428087,0.050147091,0.049983544,0.081200342,0.062991922,0.052361527,0.05564552,0.087947595,0.048344021,0.065638608,0.036489401,0.071334444,0.082685012,0.055386155,0.052102317,0.057341523,0.076394679,0.072234523,0.056316292,0.075047729,0.042828579,0.060640155,0.036779024,0.062258371,0.047888606,0.053234456,0.058577594,0.057235762,0.055737893,0.045968707,0.056830819,0.090528202,0.041967874,0.059228196,0.038312288,0.037592163,0.045296492,0.080739623,0.043189216,0.044985677,0.077976674,0.076627032,0.051912559
0.055566567,0.031962806,0.054886646,0.033869865,0.021636991,0.04769088,0.051642867,0.056662721,0.05507483,0.019435204,0.04898003,0,0.0357521,0.047313924,0.029920479,0.043414036,0.06678915,0.042927641,0.052291521,0.038707625,0.017821973,0.033932147,0.044319616,0.026567084,0.056040576,0.03675809,0.041811626,0.028636713,0.034208469,0.043747383,0.064561356,0.076175026,0.034865407,0.058785482,0.078453532,0.030225561,0.040767793,0.061821523,0.064560705,0.062843728,0.029516785,0.060535875,0.059405815,0.055611875,0.059815162,0.052867263,0.056106806,0.070218134,0.068519762,0.051310075,0.055359262,0.053729976,0.05501879,0.050958484,0.026612759,0.064624751,0.08167142,0.049039565,0.073509484,0.050306718,0.022442433,0.048262166,0.059100529,0.049389227,0.04425171,0.018184592,0.021110039,0.071775848,0.025968418,0.02897753,0.053300592,0.036791128,0.060103027,0.066015269,0.028611842,0.059482872,0.035490425,0.074098934,0.05488322
0.035542079,0.041291262,0.024844611,0.023240626,0.023754599,0.016857309,0.053383718,0.019563311,0.038233129,0.0361799,0.038919843,0.0357521,0,0.026902803,0.069224608,0.018501855,0.080658576,0.022409451,0.028944096,0.016036834,0.028661562,0.063570013,0.015679046,0.029129232,0.035914546,0.023272822,0.037923173,0.023867795,0.068527176,0.072303494,0.066163947,0.067955862,0.026539243,0.027526382,0.057530634,0.034404375,0.07451819,0.026402997,0.038168917,0.047552833,0.061898703,0.041341716,0.026896225,0.035555198,0.043424821,0.025491808,0.03198602,0.037234263,0.034635315,0.042481275,0.053355465,0.030277876,0.03356966,0.05271218,0.026487826,0.024417572,0.049629574,0.022570076,0.062217455,0.036960132,0.023488987,0.014946729,0.029733162,0.022502103,0.016277162,0.027704685,0.040615042,0.039207684,0.053358112,0.036880945,0.04942454,0.021796572,0.036997659,0.045537693,0.027459232,0.033939054,0.064516389,0.030800686,0.021934257
0.059527021,0.065735496,0.039863074,0.043083652,0.042766495,0.031704038,0.072505491,0.036771608,0.037849603,0.039949635,0.033849963,0.047313924,0.026902803,0,0.086649389,0.020170406,0.114626869,0.025114591,0.032913396,0.040757757,0.032508568,0.083939013,0.028909231,0.055595839,0.069829028,0.051621067,0.060914369,0.035806492,0.100222665,0.093494841,0.077853573,0.066154487,0.037837599,0.038714916,0.048877638,0.059423883,0.102726093,0.055253292,0.065063997,0.029752729,0.084235091,0.049599715,0.049236054,0.04105563,0.033311943,0.042824411,0.038412769,0.030729774,0.050189214,0.07329964,0.062564286,0.026325042,0.051857665,0.040063037,0.047782826,0.055318665,0.065595488,0.029189322,0.077215883,0.068249605,0.045204148,0.033711611,0.050619926,0.023001245,0.031158195,0.047074348,0.057847801,0.043438887,0.06183811,0.063159538,0.0704162,0.028732312,0.022637396,0.032174996,0.027783758,0.065877851,0.094855832,0.050839156,0.02693279
0.066490495,0.052330876,0.085369119,0.055613837,0.045440003,0.083647513,0.055902099,0.088182563,0.091591569,0.053161874,0.079526959,0.029920479,0.069224608,0.086649389,0,0.084864574,0.054100684,0.077465708,0.081756128,0.068115032,0.054373091,0.035447275,0.082075577,0.048820391,0.078869335,0.064448232,0.073417187,0.062755477,0.022355438,0.039511841,0.061511337,0.103973776,0.065543251,0.0871932,0.118562804,0.050534224,0.029002366,0.098593038,0.077477023,0.105517971,0.026371717,0.105459023,0.081663535,0.091366562,0.104750392,0.086805066,0.079954294,0.113413929,0.101002521,0.073882247,0.06580664,0.093576791,0.081670473,0.086476256,0.047750334,0.095423952,0.110012004,0.087814076,0.092353009,0.068824082,0.041399889,0.085609766,0.081924881,0.093286222,0.083134033,0.039738538,0.040661917,0.106365248,0.038798663,0.047378722,0.056557301,0.078504979,0.100835707,0.104555628,0.065269074,0.083081005,0.017795451,0.10809892,0.09420509
0.055282519,0.064088349,0.03414156,0.041054546,0.03976688,0.017874378,0.074450329,0.029969528,0.037084559,0.038916726,0.047346475,0.043414036,0.018501855,0.020170406,0.084864574,0,0.115168742,0.019794553,0.028786856,0.025358327,0.037805127,0.087263533,0.019362282,0.045313851,0.058856165,0.043459602,0.057273213,0.031129788,0.09182642,0.096580866,0.07502772,0.055840547,0.030028944,0.028477096,0.04403806,0.058010243,0.100777918,0.049940472,0.062394867,0.03425736,0.085155053,0.037423155,0.041948171,0.02338568,0.030645396,0.02689201,0.035540719,0.030312942,0.043947605,0.067044781,0.059457598,0.016215928,0.040410804,0.040489291,0.044928103,0.04015348,0.067141551,0.013658283,0.087506713,0.060942968,0.043165302,0.017788927,0.043070698,0.012379703,0.012618353,0.042253866,0.055909034,0.038277068,0.070728203,0.055686937,0.073130346,0.019034248,0.025960932,0.032494322,0.033449453,0.059246178,0.08759192,0.044155138,0.020428519
0.064750464,0.062786991,0.094932555,0.051599884,0.05328931,0.090601727,0.04298564,0.091391462,0.104603742,0.096630263,0.070443654,0.06678915,0.080658576,0.114626869,0.054100684,0.115168742,0,0.09529344,0.117904605,0.077848368,0.077399798,0.034528043,0.101512768,0.056657583,0.06440992,0.05620437,0.095593174,0.085310214,0.03731772,0.060989703,0.070353029,0.185711903,0.091284065,0.101716418,0.165312274,0.056471315,0.035603587,0.068862704,0.046170469,0.155991152,0.03631778,0.106975568,0.070770957,0.141305986,0.137052437,0.094437106,0.083910276,0.149613693,0.117018784,0.050027848,0.06651954,0.133257261,0.09611488,0.143425599,0.063411451,0.094858836,0.0702251,0.118763077,0.03869174,0.051260978,0.057644561,0.090775537,0.074947758,0.11980275,0.103908055,0.055552932,0.061308049,0.150040074,0.051530391,0.051051333,0.028027014,0.094921006,0.13188642,0.153776249,0.093166569,0.049870942,0.034996279,0.105970795,0.103423556
0.05202142,0.055768242,0.040817476,0.027948517,0.033092538,0.020113612,0.047951384,0.033126915,0.025151922,0.043419284,0.036418182,0.042927641,0.022409451,0.025114591,0.077465708,0.019794553,0.09529344,0,0.038835952,0.030617926,0.037762513,0.073930723,0.027546282,0.044708063,0.053836466,0.036366535,0.07111452,0.035130656,0.082933098,0.086186809,0.055629683,0.081387357,0.022409636,0.035798885,0.072452988,0.051260596,0.089087668,0.048347479,0.051469652,0.050560711,0.074423967,0.042432159,0.041038477,0.044727005,0.029921335,0.037986303,0.021787566,0.050884207,0.063606483,0.051657106,0.040404375,0.031138954,0.047139626,0.056986295,0.048676601,0.051120049,0.054409105,0.021230631,0.063656775,0.050289226,0.03250121,0.028507072,0.041652393,0.027891975,0.022840129,0.034942534,0.045428971,0.058774354,0.054944416,0.054179253,0.05636014,0.017901962,0.03506469,0.051142171,0.029178389,0.050403337,0.082033574,0.058729995,0.030675393
0.04015849,0.060414067,0.030282829,0.047022894,0.048267105,0.039109186,0.080469821,0.031944219,0.060191287,0.043484132,0.068803705,0.052291521,0.028944096,0.032913396,0.081756128,0.028786856,0.117904605,0.038835952,0,0.029133166,0.045975883,0.092556808,0.020782761,0.049711226,0.060499385,0.044599284,0.046751404,0.038556117,0.094996955,0.078851126,0.089364213,0.040960236,0.03683333,0.033101183,0.046712435,0.048704049,0.096768944,0.062111136,0.066005801,0.037391584,0.086605183,0.071007153,0.047428324,0.035096689,0.05470601,0.03946653,0.047851706,0.03655917,0.033441696,0.071638798,0.074514972,0.030559351,0.025450779,0.048555536,0.04211583,0.038174926,0.086966996,0.027160758,0.102534239,0.051987004,0.043783068,0.034289112,0.047744045,0.033299116,0.030403159,0.044349708,0.057798314,0.018950233,0.072120486,0.059475217,0.088009342,0.046176501,0.044580114,0.035156173,0.034192029,0.078179625,0.088231077,0.036181657,0.033005552
0.02847434,0.045297378,0.024774993,0.026873994,0.029029612,0.020159516,0.055519443,0.025634118,0.054448386,0.041432934,0.056919337,0.038707625,0.016036834,0.040757757,0.068115032,0.025358327,0.077848368,0.030617926,0.029133166,0,0.037504791,0.06588561,0.022702189,0.026297048,0.032966818,0.022362908,0.039449159,0.027075999,0.067514396,0.068844555,0.073211853,0.069347531,0.027737736,0.025263255,0.064809359,0.033771163,0.070711882,0.033057749,0.037601514,0.057041241,0.064010756,0.04898687,0.027947484,0.036511182,0.057944704,0.021792033,0.039950174,0.051163323,0.036731347,0.041306472,0.05650455,0.039895368,0.025727745,0.059782833,0.029404887,0.02304151,0.058066123,0.02561659,0.072729464,0.028513846,0.028280723,0.017773777,0.029056203,0.02851744,0.018645308,0.027371552,0.042761,0.043249186,0.059621598,0.0380024,0.053939392,0.027792679,0.051803285,0.053537,0.035185136,0.039623644,0.06287054,0.032011912,0.026246952
0.053088599,0.030215251,0.047073141,0.032238573,0.020694901,0.040767677,0.059387367,0.047484875,0.045191138,0.012269978,0.036696729,0.017821973,0.028661562,0.032508568,0.054373091,0.037805127,0.077399798,0.037762513,0.045975883,0.037504791,0,0.047756021,0.034922638,0.03375591,0.05514234,0.036961115,0.039295318,0.024681753,0.056562636,0.062233664,0.072919689,0.081525792,0.035489811,0.053092072,0.068899701,0.027133147,0.05989937,0.047035282,0.058503007,0.054682237,0.041695793,0.051995025,0.052554458,0.0529565,0.048163311,0.046615685,0.053260624,0.056084451,0.056502361,0.05354342,0.059694722,0.045768642,0.058663888,0.043541797,0.030866735,0.054101256,0.066060295,0.047051784,0.061847103,0.051502865,0.026180266,0.039099799,0.053726186,0.039759642,0.039753421,0.022401139,0.019818387,0.065074059,0.026621111,0.028507903,0.054508255,0.029637996,0.048807317,0.058196324,0.017343582,0.052477035,0.058297056,0.061486153,0.043094166
0.072784583,0.042464658,0.08757555,0.043696027,0.038983155,0.075610018,0.049981992,0.079380528,0.087124417,0.062175433,0.055830184,0.033932147,0.063570013,0.083939013,0.035447275,0.087263533,0.034528043,0.073930723,0.092556808,0.06588561,0.047756021,0,0.082491688,0.048489516,0.069024031,0.055646128,0.0707914,0.064803196,0.019630408,0.035908504,0.067441464,0.144381434,0.064557654,0.096328166,0.132643936,0.046594898,0.017106836,0.06954682,0.064864245,0.123925784,0.023856462,0.092230777,0.076489008,0.114623768,0.104369017,0.090816226,0.073325455,0.112548706,0.106407647,0.057290638,0.067747455,0.104970481,0.087753743,0.107270383,0.049778142,0.089961484,0.080498471,0.089563082,0.053665102,0.061611944,0.042064863,0.080090183,0.079188158,0.093118976,0.084182809,0.041037003,0.03667782,0.11712907,0.026343612,0.043917519,0.037009814,0.072022025,0.097339618,0.120598298,0.066069133,0.058488753,0.029236191,0.096082562,0.087415842
